步骤编号,工作状态（ON/OFF）,运行时间（min）,起始温度（℃）,终点温度（℃）,湿度控制标志（ON/OFF）,起始湿度（%）,终点湿度（%）,日照控制标志（ON/OFF）,日照控制方式（开环/闭环）,日照起始角度（°）,日照终点角度（°）,起始日照强度（W/m2）,终点日照强度（W/m2）,降雨控制标志（ON/OFF）,起始降雨量（mm/h）,终点降雨量（mm/h）,风速控制标志（ON/OFF）,起始风速（m/s）,终点风速（m/s）,降雪控制标志（ON/OFF）,起始降雪量（mm/h）,终点降雪量（mm/h）
22,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
23,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
24,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
25,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
26,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
27,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
28,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
29,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
30,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
31,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
32,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
33,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
34,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
35,ON,3.3,5.0,-5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
36,ON,60.0,-5.0,-5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,ON,15.0,15.0
37,ON,4.3,-5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
38,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
39,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
40,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
41,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
42,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
43,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
44,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
45,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
46,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
47,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
48,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
49,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
50,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
51,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
52,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
53,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
54,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
55,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
56,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
57,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
58,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
59,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
60,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
61,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
62,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
63,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
64,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
65,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
66,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
67,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
68,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
69,ON,3.3,5.0,-5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
70,ON,60.0,-5.0,-5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,ON,15.0,15.0
71,ON,4.3,-5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
72,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
73,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
74,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
75,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
76,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
77,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
78,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
79,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
80,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
81,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
82,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
83,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
84,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
85,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
86,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
87,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
88,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
89,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
90,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
91,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
92,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
93,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
94,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
95,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
96,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
97,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
98,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
99,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
100,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
101,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
102,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
103,ON,3.3,5.0,-5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
104,ON,60.0,-5.0,-5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,ON,15.0,15.0
105,ON,4.3,-5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
106,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
107,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
108,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
109,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
110,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
111,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
112,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
113,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
114,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
115,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
116,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
117,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
118,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
119,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
120,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
121,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
122,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
123,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
124,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
125,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
126,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
127,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
128,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
129,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
130,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
131,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
132,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
133,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
134,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
135,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
136,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
137,ON,3.3,5.0,-5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
138,ON,60.0,-5.0,-5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,ON,15.0,15.0
139,ON,4.3,-5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
140,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
141,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
142,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
143,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
144,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
145,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
146,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
147,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
148,ON,360.0,-18.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
149,ON,7.7,-18.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
150,ON,240.0,5.0,5.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
151,ON,7.7,5.0,-18.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
